City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,pisco,-13.7,-76.2167,22.03,83,0,3.09,PE,1682302355
1,ivanteyevka,55.9711,37.9208,10.11,57,14,0.45,RU,1682302355
2,grytviken,-54.2811,-36.5092,2.37,88,100,7.89,GS,1682302355
3,bilibino,68.0546,166.4372,0.87,73,1,2.51,RU,1682302356
4,antalaha,-14.9003,50.2788,23.2,92,71,1.82,MG,1682302356
5,tsirang,27.0219,90.1229,16.91,67,78,0.91,BT,1682302356
6,puerto ayora,-0.7393,-90.3518,25.86,92,45,2.24,EC,1682302356
7,rongelap,11.1635,166.8941,27.08,83,36,10.09,MH,1682302356
8,vorkuta,67.5,64.0,-11.84,93,100,3.51,RU,1682302356
9,aasiaat,68.7098,-52.8699,-0.68,99,100,2.15,GL,1682302357
10,colares,38.7992,-9.4469,15.98,88,8,7.6,PT,1682302357
11,lepsy,46.235,78.9456,13.79,32,97,2.73,KZ,1682302357
12,fortuna,40.5982,-124.1573,11.48,81,100,1.79,US,1682302357
13,sao francisco do sul,-26.2433,-48.6381,18.62,92,50,1.16,BR,1682302357
14,yellowknife,62.456,-114.3525,4.28,83,28,1.94,CA,1682302357
15,umm kaddadah,13.6017,26.6876,26.67,38,64,5.25,SD,1682302357
16,papao,-17.75,-149.55,26.48,88,100,3.38,PF,1682302357
17,guerrero negro,27.9769,-114.0611,15.61,80,0,6.51,MX,1682302358
18,mana,5.6592,-53.7767,23.64,91,100,0.42,GF,1682302358
19,pacific grove,36.6177,-121.9166,18.34,87,100,3.6,US,1682302358
20,labasa,-16.4167,179.3833,29.64,60,52,3.37,FJ,1682302358
21,tisul',55.7611,88.3122,5.95,70,100,1.95,RU,1682302358
22,vorgashor,67.5833,63.95,-11.93,94,99,3.72,RU,1682302358
23,astrakhan,46.3497,48.0408,13.93,62,0,5.0,RU,1682302358
24,luena,-11.7833,19.9167,16.92,90,100,0.21,AO,1682302358
25,villa gesell,-37.2639,-56.973,15.59,90,23,4.22,AR,1682302359
26,st. john's,47.5649,-52.7093,3.15,95,100,9.39,CA,1682302215
27,sechura,-5.5569,-80.8222,25.78,80,100,2.21,PE,1682302359
28,mejit,10.2753,170.8646,27.28,81,85,8.26,MH,1682302359
29,cockburn town,21.4612,-71.1419,25.46,71,1,4.41,TC,1682302359
30,port-aux-francais,-49.35,70.2167,4.15,62,99,14.64,TF,1682302359
